	# handlers	# handlers finais	# pacotes	# final handlers por pacotes		# final handlers of external	# resignaler handlers external -> any	# resignaler handlers external -> project		# final handlers of checked	# resignaler handlers checked -> any	# resignaler handlers checked -> unchecked		# project exceptions	# project types		# project exceptions	# subtypes of project exceptions		# handlers	# resignaler handlers	# resignaler handlers with logging actions	# final handlers	# final handlers with logging actions		# handlers	# resignaler handlers with calls to dedicated handlers	# final handlers with calls to dedicated handlers	# handlers per dedicated handler		
[576195] spring-projects-spring-boot	682	396	562	21 14 13 12 11 10 10 10 8 7 7 7 7 7 7 6 6 6 6 6 5 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		39	23	8		299	233	181		43	2989		43	4 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		682	286	5	396	51		682	10	8	2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1		
[577159] yandex-clickhouse-jdbc	45	14	8	9 2 2 1 0 0 0 0		0	1	0		14	30	17		2	58		2	1 0		45	31	0	14	5		45	4	0	4		
[581837] swagger-api-swagger-parser	29	22	8	15 6 1 0 0 0 0 0		0	0	0		22	7	5		0	35		0	0		29	7	2	22	6		29	0	0	0		
[582967] belaban-JGroups	848	677	27	249 108 62 47 47 32 28 17 11 10 8 7 7 6 6 6 6 5 5 4 4 1 1 0 0 0 0		2	5	0		649	151	69		4	624		4	0 0 0 0		848	171	2	677	318		848	1	20	6 4 3 2 2 1 1 1 1		
[587720] ron-from-nl-FinalCrypt	158	158	1	158		0	0	0		148	0	0		0	25		0	0		158	0	0	158	2		158	0	0	0		
[588127] spotify-futures-extra	4	3	1	3		0	0	0		3	1	0		1	14		1	0		4	1	0	3	0		4	0	0	0		
[588151] qdb-io-qdb-server	99	72	11	25 17 13 6 5 3 1 1 1 0 0		4	3	0		44	19	17		3	80		3	0 0 0		99	27	0	72	30		99	0	5	5		
[592413] Blankj-awesome-java-leetcode	0	0	63	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	0	0		0	0	0		0	65		0	0		0	0	0	0	0		0	0	0	0		
[594555] openhab-openhab2-addons	3038	2699	1014	48 47 41 39 38 35 29 29 28 28 27 27 26 26 24 24 23 23 22 22 22 20 20 19 19 19 18 18 18 18 17 17 16 16 16 16 16 15 15 14 14 14 14 14 14 14 14 13 13 13 13 13 13 13 13 13 13 12 12 12 12 12 12 11 11 11 11 11 11 10 10 10 10 10 10 10 10 10 10 10 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 7 7 7 7 7 7 7 7 7 7 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		315	61	32		1957	237	48		148	4704		148	6 6 6 6 5 3 2 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		3038	339	22	2699	1021		3038	2	42	11 10 6 5 4 2 2 2 1 1		
[596283] StubbornJava-StubbornJava	33	10	39	2 2 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	0	0		10	23	21		4	165		4	1 0 0 0		33	23	2	10	9		33	1	0	1		
[597107] allegro-hermes	278	143	196	11 11 7 7 6 5 5 4 4 4 4 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		19	24	16		102	104	96		84	869		84	27 18 12 5 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		278	135	13	143	82		278	1	1	1 1		
[597457] ShifuML-shifu	447	271	63	75 31 21 20 17 13 10 10 8 7 6 5 5 5 4 4 4 4 3 2 2 2 2 2 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		7	7	0		227	161	128		2	512		2	0 0		447	176	12	271	125		447	0	2	2		
[599125] jitsi-jitsi	1891	1504	251	309 160 65 56 36 35 33 33 31 29 27 26 23 22 22 20 18 18 17 15 15 14 14 14 12 12 12 10 10 10 10 9 9 9 9 8 8 8 8 8 7 7 7 7 7 7 6 6 6 6 6 6 6 6 6 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		293	107	79		1127	286	79		21	2102		21	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		1891	387	133	1504	982		1891	85	745	789 25 5 2 2 2 1 1 1 1 1		
[609723] vmware-admiral	550	403	141	38 31 24 21 20 18 18 18 16 16 12 9 8 8 7 7 7 6 6 6 6 6 5 5 5 4 4 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		26	11	0		353	130	81		9	1326		9	0 0 0 0 0 0 0 0 0		550	147	3	403	53		550	0	15	3 3 2 2 2 1 1 1		
[616650] logzio-apollo	78	53	31	16 11 9 4 3 2 2 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	5	2		50	19	11		13	127		13	5 3 0 0 0 0 0 0 0 0 0 0 0		78	25	4	53	38		78	0	2	2		
[618337] pgjdbc-pgjdbc	269	103	28	21 18 16 14 13 6 6 2 2 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		1	7	7		84	129	9		5	206		5	0 0 0 0 0		269	166	5	103	10		269	15	5	7 3 2 2 2 2 1 1		
[619779] spullara-cli-parser	24	7	1	7		0	0	0		7	16	16		0	3		0	0		24	17	0	7	0		24	0	0	0		
[619905] ran-jit-tomcat-cluster-redis-session-manager	28	24	6	11 6 6 1 0 0		10	1	1		10	3	2		1	17		1	0		28	4	2	24	7		28	0	0	0		
[621130] vert-x3-vertx-web	83	57	49	14 10 10 4 3 3 2 2 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		3	1	0		25	17	7		5	207		5	0 0 0 0 0		83	26	0	57	6		83	0	5	3 2		
[621719] dooApp-FXForm2	35	30	26	5 4 4 3 3 2 2 2 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0		5	0	0		23	5	0		4	168		4	1 0 0 0		35	5	0	30	21		35	0	0	0		
[622206] lightbend-config	71	20	4	20 0 0 0		0	0	0		10	25	20		16	129		16	13 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0		71	51	0	20	0		71	14	0	7 5 1 1		
[623963] jboss-javassist-javassist	378	103	24	43 16 8 5 5 4 4 3 3 3 2 2 1 1 1 1 1 0 0 0 0 0 0 0		0	0	0		94	257	98		20	399		20	2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		378	275	1	103	3		378	0	1	1		
[627524] networknt-light-4j	239	159	70	29 18 16 14 12 9 8 6 6 5 5 4 3 3 3 3 2 2 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		11	3	0		136	68	52		7	323		7	0 0 0 0 0 0 0		239	80	21	159	88		239	0	4	4		
[629985] lettuce-io-lettuce-core	161	74	54	14 14 12 7 5 5 4 4 3 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	0	0		62	69	54		14	567		14	13 4 2 1 0 0 0 0 0 0 0 0 0 0		161	87	0	74	14		161	15	4	6 5 3 2 2 1		
[630917] Col-E-Recaf	120	115	21	29 21 11 9 8 5 5 5 5 4 3 2 2 2 2 1 1 0 0 0 0		5	0	0		96	5	4		4	267		4	2 0 0 0		120	5	0	115	56		120	0	50	46 4		
[631810] bytemanproject-byteman	293	187	24	56 23 22 20 10 9 9 7 6 5 4 4 4 3 2 1 1 1 0 0 0 0 0 0		13	0	0		146	77	47		8	255		8	2 1 0 0 0 0 0 0		293	106	0	187	16		293	0	60	37 16 4 3		
[639408] siddhi-io-siddhi	175	95	125	11 7 7 7 5 5 5 5 4 4 4 3 3 3 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		6	3	0		75	51	18		28	815		28	5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		175	80	4	95	49		175	23	28	42 5 2 1 1		
[640193] primefaces-primefaces	115	55	247	10 9 3 3 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		15	8	0		31	46	2		3	1038		3	0 0 0		115	60	3	55	13		115	0	0	0		
[646218] caelum-caelum-stella	75	40	56	12 6 4 3 2 2 2 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		1	3	3		23	25	24		13	373		13	2 1 0 0 0 0 0 0 0 0 0 0 0		75	35	0	40	17		75	0	0	0		
[646387] Netflix-eureka	202	151	36	25 21 14 13 10 8 8 8 7 5 5 5 4 3 2 2 2 2 2 2 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0		5	1	0		143	50	42		2	316		2	0 0		202	51	8	151	112		202	2	2	2 1 1		
[649370] OpenRefine-OpenRefine	398	323	81	44 24 16 12 11 11 11 11 11 10 10 9 9 9 9 8 7 7 7 6 6 6 5 5 5 5 5 4 4 4 3 3 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		33	1	0		252	65	6		12	715		12	0 0 0 0 0 0 0 0 0 0 0 0		398	75	32	323	122		398	0	1	1		
[651138] jdbi-jdbi	136	22	61	5 4 3 2 2 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	3	1		21	108	102		21	368		21	18 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		136	114	1	22	1		136	11	0	9 2		
[667551] huanghongxun-HMCL	221	167	35	25 17 16 14 13 10 9 9 9 6 6 6 4 4 3 3 2 2 2 2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0		19	7	2		144	40	10		25	427		25	8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		221	54	2	167	78		221	0	9	3 2 2 2		
[667683] micrometer-metrics-micrometer	110	81	109	6 6 5 4 4 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		5	3	0		67	26	21		3	497		3	0 0 0		110	29	1	81	31		110	1	0	1		
[672810] eclipse-ditto	262	121	225	19 10 9 8 6 5 4 4 3 3 3 3 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		22	42	36		42	57	38		140	1788		140	129 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		262	141	9	121	18		262	20	11	17 8 2 2 1 1		
[693460] arey-java-object-mapper-benchmark	0	0	12	0 0 0 0 0 0 0 0 0 0 0 0		0	0	0		0	0	0		0	16		0	0		0	0	0	0	0		0	0	0	0		
[693954] charles-wangkai-hackerrank	0	0	0	0		0	0	0		0	0	0		0	0		0	0		0	0	0	0	0		0	0	0	0		
[695242] mkarneim-pojobuilder	277	4	59	3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		0	0	0		3	182	91		6	319		6	4 0 0 0 0 0		277	273	0	4	1		277	0	3	3		
[696284] inferred-FreeBuilder	15	12	10	5 4 1 1 1 0 0 0 0 0		0	1	0		6	2	1		1	175		1	0		15	3	0	12	0		15	0	0	0		
[696776] apache-drill	1832	997	268	225 32 27 24 21 19 17 17 16 16 15 14 14 13 13 13 12 12 11 11 11 9 9 9 8 8 8 8 8 8 8 7 7 7 7 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		240	75	44		655	539	292		83	4271		83	19 14 10 8 6 5 4 3 3 2 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		1832	835	55	997	251		1832	23	153	112 12 6 5 3 3 3 3 3 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1		
[699438] bndtools-bnd	1527	1076	431	100 40 38 29 24 23 21 19 19 19 19 19 18 18 17 17 17 15 14 14 13 13 12 11 11 11 11 11 10 10 10 10 9 9 8 8 8 7 7 7 7 7 6 6 6 6 6 6 6 6 5 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0		170	49	8		855	374	190		11	1814		11	0 0 0 0 0 0 0 0 0 0 0		1527	451	35	1076	272		1527	103	151	120 93 8 8 4 4 3 3 2 2 2 1 1 1 1 1		
[700081] reactor-reactor-core	460	405	19	383 9 4 3 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0		0	0	0		382	42	32		11	796		11	3 1 0 0 0 0 0 0 0 0 0		460	55	1	405	19		460	29	53	60 11 7 4		
